IntroNet6				zh
0				课程简介
0	0			欢迎学习网络简介
0	0	1		致学生的话
0	0	1	1	欢迎
0	0	1	2	全球社区
0	0	1	3	不止包含信息
0	0	1	4	如何教学
0	0	1	5	在不断实践中掌握概念
0	0	1	6	广开思路
0	0	1	7	工程日志
0	0	1	8	探索网络世界
0	0	1	9	开创自己的世界
0	0	1	10	Packet Tracer 如何帮助学生掌握概念
0	0	1	11	课程概述
1				探索网络
1	0			简介
1	0	1		欢迎
1	0	1	1	第 1 章：探索网络
1	0	1	2	课堂练习 - 描绘互联网的概念
1	1			全球连接
1	1	1		当今网络
1	1	1	1	日常生活中的网络
1	1	1	2	过去与现在的技术
1	1	1	3	无边界
1	1	1	4	网络支撑着我们的学习方式
1	1	1	5	网络支撑着我们的通信方式
1	1	1	6	网络支撑着我们的工作方式
1	1	1	7	网络支撑着我们的娱乐方式
1	1	1	8	实验 - 研究网络协作工具
1	1	2		提供网络资源
1	1	2	1	多种规模的网络
1	1	2	2	客户端和服务器
1	1	2	3	对等
1	2			LAN、WAN 和互联网
1	2	1		网络组件
1	2	1	1	网络组件概述
1	2	1	2	终端设备
1	2	1	3	中间网络设备
1	2	1	4	网络介质
1	2	1	5	网络表示方式
1	2	1	6	拓扑图
1	2	1	7	练习 - 网络组件表示方式和功能
1	2	2		LAN 和 WAN
1	2	2	1	网络类型
1	2	2	2	局域网
1	2	2	3	广域网
1	2	3		互联网、内部网和外联网
1	2	3	1	互联网
1	2	3	2	内部网和外联网
1	2	4		互联网连接
1	2	4	1	互联网访问技术
1	2	4	2	家庭和小型办公室互联网连接
1	2	4	3	企业互联网连接
1	2	4	4	Packet Tracer – 帮助和导航提示
1	2	4	5	Packet Tracer - 网络表示方式
1	3			作为平台的网络
1	3	1		融合网络
1	3	1	1	传统的独立网络
1	3	1	2	融合网络
1	3	1	3	实验 – 研究融合网络服务
1	3	2		可靠网络
1	3	2	1	网络架构
1	3	2	2	容错能力
1	3	2	3	可扩展性
1	3	2	4	服务质量
1	3	2	5	安全
1	3	2	6	练习 - 可靠网络
1	4			不断变化的网络环境
1	4	1		网络趋势
1	4	1	1	新趋势
1	4	1	2	自带设备
1	4	1	3	在线协作
1	4	1	4	视频通信
1	4	1	5	云计算
1	4	2		家庭网络技术
1	4	2	1	家庭中的技术趋势
1	4	2	2	电力线网络
1	4	2	3	无线宽带
1	4	3		网络安全
1	4	3	1	安全威胁
1	4	3	2	安全解决方案
1	4	3	3	练习 - 网络安全术语
1	4	4		网络架构
1	4	4	1	思科网络架构
1	4	4	2	CCENT 和 CCNA 认证
1	4	4	3	实验 - 研究 IT 和网络领域工作机会
1	5			小结
1	5	1		结论
1	5	1	1	课堂练习 – 立即描绘互联网的概念
1	5	1	2	Warriors of the Net
1	5	1	3	第 1 章：探索网络
2				配置网络操作系统
2	0			简介
2	0	1		欢迎
2	0	1	1	第 2 章：配置网络操作系统
2	0	1	2	课堂练习 - 它只是一个操作系统
2	1			IOS 训练营
2	1	1		思科 IOS
2	1	1	1	操作系统
2	1	1	2	操作系统的用途
2	1	2		Cisco IOS 访问
2	1	2	1	访问方法
2	1	2	2	终端仿真程序
2	1	2	3	练习 - 访问设备
2	1	3		导航 IOS
2	1	3	1	思科 IOS 操作模式
2	1	3	2	主要命令模式
2	1	3	3	配置命令模式
2	1	3	4	在 IOS 模式之间导航
2	1	4		命令结构
2	1	4	1	基本 IOS 命令结构
2	1	4	2	IOS 命令语法
2	1	4	3	IOS 帮助功能
2	1	4	4	热键和快捷方式
2	1	4	5	视频演示 – 热键和快捷方式
2	1	4	6	Packet Tracer - 导航 IOS
2	1	4	7	实验 - 使用 Tera Term 建立控制台会话
2	2			基本设备配置
2	2	1		主机名
2	2	1	1	设备名称
2	2	1	2	配置主机名
2	2	2		限制对设备配置的访问
2	2	2	1	安全设备访问
2	2	2	2	配置密码
2	2	2	3	加密密码
2	2	2	4	标语消息
2	2	2	5	语法检查器 - 限制交换机访问
2	2	3		保存配置
2	2	3	1	保存运行配置文件。
2	2	3	2	更改运行配置
2	2	3	3	将配置捕获到文本文件中
2	2	3	4	Packet Tracer - 配置初始交换机设置
2	3			地址方案
2	3	1		端口和地址
2	3	1	1	IP 地址
2	3	1	2	接口和端口
2	3	2		配置 IP 地址
2	3	2	1	手动配置终端设备的 IP 地址
2	3	2	2	自动配置终端设备的 IP 地址
2	3	2	3	交换机虚拟接口配置
2	3	2	4	语法检查器 - 配置交换机虚拟接口
2	3	2	5	Packet Tracer - 实施基本连接
2	3	3		检验连接
2	3	3	1	接口编址验证
2	3	3	2	端到端连接测试
2	3	3	3	实验 - 建立简单网络
2	3	3	4	实验 - 配置交换机管理地址
2	4			小结
2	4	1		结论
2	4	1	1	课堂练习 - 辅导
2	4	1	2	Packet Tracer - 综合技能练习
2	4	1	3	第 2 章：配置网络操作系统
3				网络协议和通信
3	0			简介
3	0	1		欢迎
3	0	1	1	第 3 章：网络协议和通信
3	0	1	2	课堂练习 - 设计通信系统
3	1			通信规则
3	1	1		规则
3	1	1	1	通信基础知识
3	1	1	2	规则建立
3	1	1	3	消息编码
3	1	1	4	消息格式和封装
3	1	1	5	消息大小
3	1	1	6	消息时序
3	1	1	7	消息传输选项
3	2			网络协议和标准
3	2	1		协议
3	2	1	1	用于规范通信的规则
3	2	1	2	网络协议
3	2	1	3	协议交互
3	2	2		协议簇
3	2	2	1	协议簇和行业标准
3	2	2	2	TCP/IP 发展
3	2	2	3	TCP/IP 协议簇
3	2	2	4	TCP/IP 通信过程
3	2	2	5	练习 – 映射 TCP/IP 协议簇的协议
3	2	3		标准组织
3	2	3	1	开放标准
3	2	3	2	Internet 标准
3	2	3	3	电子与通信标准组织
3	2	3	4	实验 - 研究网络标准
3	2	4		参考模型
3	2	4	1	使用分层模型的优点
3	2	4	2	OSI 参考模型
3	2	4	3	TCP/IP 协议模型
3	2	4	4	OSI 模型与 TCP/IP 模型对比
3	2	4	5	练习 - 识别各层和功能
3	2	4	6	Packet Tracer - 调查运行中的 TCP/IP 和 OSI 模型
3	3			网络中的数据传输
3	3	1		数据封装
3	3	1	1	消息分段
3	3	1	2	协议数据单元
3	3	1	3	封装示例
3	3	1	4	解封
3	3	1	5	练习 - 识别 PDU 层
3	3	2		数据访问
3	3	2	1	网络地址
3	3	2	2	数据链路地址
3	3	2	3	同一网络中的设备
3	3	2	4	远程网络中的设备
3	4			小结
3	4	1		结论
3	4	1	1	实验 - 安装 Wireshark
3	4	1	2	实验 - 使用 Wireshark 查看网络流量
3	4	1	3	课堂练习 - 确保运行正常！
